order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,purchase_to_approval_days,approval_to_carrier_days,transport_days,total_fulfillment_days,delay_days,is_delayed,early_days,delay_days_positive,review_score,review_creation_date,review_answer_timestamp,customer_state,customer_city,customer_zip_code_prefix,payment_value_total,payment_installments_max,payment_installments_mean,payment_type_primary,payment_type_nunique,payment_records,item_count,seller_count,seller_state_count,product_count,category_count,price_total,freight_total,weight_total_g,volume_total_cm3,item_price_mean,freight_mean,top_category,order_cost_total,freight_ratio,is_low_score,is_high_score,is_multi_seller,is_multi_item,has_installment,purchase_to_approval_days_w,approval_to_carrier_days_w,transport_days_w,total_fulfillment_days_w,delay_days_positive_w,price_total_w,freight_total_w,order_cost_total_w,weight_total_g_w,volume_total_cm3_w,freight_ratio_w,payment_value_total_w,order_complexity_index,complexity_level,delay_bucket,payment_value_bucket
6851d4a26dc9bdbce52550f0c68d61ff,19a5fcf6936cd424026777aefabdbc3c,delivered,2017-05-22 10:11:04,2017-05-22 10:25:18,2017-05-23 06:38:41,2017-05-29 15:07:54,2017-06-13,0.00988425925925926,0.8426273148148148,6.353622685185186,7.206134259259259,-15.0,0,15.0,0.0,1.0,2017-05-30 00:00:00,2017-05-31 11:53:04,SP,fernandopolis,15600,96.27,9.0,9.0,credit_card,1.0,1.0,1,1,1,1,1,79.95,16.32,1250.0,11408.0,79.95,16.32,cool_stuff,96.27000000000001,0.1695232159551262,1,0,0,0,1,0.00988425925925926,0.8426273148148148,6.353622685185186,7.206134259259259,0.0,79.95,16.32,96.27000000000001,1250.0,11408.0,0.1695232159551262,96.27,0.1747,Q4 High,On-time,Q3
6648a06c491fb09866fe9080f43894c3,8f882292339b2d49db7de97b3d9d06c2,delivered,2017-03-18 21:15:14,2017-03-18 21:15:14,2017-03-23 14:56:50,2017-04-04 12:52:47,2017-04-27,0.0,4.737222222222222,11.913854166666667,16.65107638888889,-23.0,0,23.0,0.0,3.0,2017-04-05 00:00:00,2017-04-07 00:44:57,PA,belem,66650,336.9,10.0,10.0,credit_card,1.0,1.0,1,1,1,1,1,309.0,27.9,600.0,11400.0,309.0,27.9,sports_leisure,336.9,0.08281389136242208,0,0,0,0,1,0.0,4.737222222222222,11.913854166666667,16.65107638888889,0.0,309.0,27.9,336.9,600.0,11400.0,0.08281389136242208,336.9,0.2036,Q4 High,On-time,Q5 High
0509b3b20635c8d54544dc048d95318b,60d8ab975103138567fe656cf30575f4,delivered,2018-06-22 19:08:21,2018-06-23 16:35:15,2018-06-26 14:50:00,2018-07-04 21:48:38,2018-07-17,0.8936805555555556,2.9269097222222222,8.290717592592593,12.11130787037037,-13.0,0,13.0,0.0,5.0,2018-07-05 00:00:00,2018-07-06 02:02:05,RJ,volta redonda,27253,43.27,4.0,4.0,credit_card,1.0,1.0,1,1,1,1,1,24.99,18.28,350.0,816.0,24.99,18.28,telephony,43.269999999999996,0.42246360064709965,0,1,0,0,1,0.8936805555555556,2.9269097222222222,8.290717592592593,12.11130787037037,0.0,24.99,18.28,43.269999999999996,350.0,816.0,0.42246360064709965,43.27,-0.1858,Q2,On-time,Q1
a395628c3a4edf913a8abd71556e87f9,188216cd8b26fa96077da81f35b43ebe,delivered,2018-08-07 11:39:59,2018-08-07 11:50:20,2018-08-15 13:06:00,2018-08-21 19:18:43,2018-08-28,0.0071875,8.052546296296295,6.258831018518518,14.318564814814815,-7.0,0,7.0,0.0,5.0,2018-08-22 00:00:00,2018-08-30 14:42:21,MG,orizania,36828,190.09,4.0,4.0,credit_card,1.0,1.0,1,1,1,1,1,129.95,60.14,9950.0,59488.0,129.95,60.14,home_construction,190.08999999999997,0.3163764532589826,0,1,0,0,1,0.0071875,8.052546296296295,6.258831018518518,14.318564814814815,0.0,129.95,60.14,190.08999999999997,9950.0,59488.0,0.3163764532589826,190.09,0.5205,Q4 High,On-time,Q4
0b405b8ecc88bad4a3f2eee0fba1419f,cfe65a3ee75686d0ac417375b2d33d64,delivered,2017-05-29 10:20:53,2017-05-31 06:45:22,2017-06-02 05:44:51,2017-06-19 19:53:41,2017-07-03,1.850335648148148,1.957974537037037,17.58946759259259,21.397777777777776,-14.0,0,14.0,0.0,4.0,2017-06-22 00:00:00,2017-06-22 23:20:10,PE,bezerros,55660,165.25,1.0,1.0,boleto,1.0,1.0,1,1,1,1,1,139.0,26.25,250.0,1768.0,139.0,26.25,unknown,165.25,0.1588502269288956,0,1,0,0,0,1.850335648148148,1.957974537037037,17.58946759259259,21.397777777777776,0.0,139.0,26.25,165.25,250.0,1768.0,0.1588502269288956,165.25,-0.3418,Q1 Low,On-time,Q4
6f7390ae95a89ea985e0d81b189e96d5,c17611c9d2852a5b128c4f1ed28fa0e2,delivered,2017-01-30 20:52:02,2017-01-30 21:33:50,2017-01-31 10:38:09,2017-02-10 12:09:06,2017-03-20,0.029027777777777777,0.5446643518518518,10.063159722222222,10.636851851851851,-38.0,0,38.0,0.0,3.0,2017-02-11 00:00:00,2017-02-14 09:33:30,MG,itamarandiba,39670,297.99,10.0,10.0,credit_card,1.0,1.0,1,1,1,1,1,279.99,18.0,1950.0,36750.0,279.99,18.0,toys,297.99,0.06040471156750226,0,0,0,0,1,0.029027777777777777,0.5446643518518518,10.063159722222222,10.636851851851851,0.0,279.99,18.0,297.99,1950.0,36750.0,0.06040471156750226,297.99,0.4062,Q4 High,On-time,Q5 High
ea4e089556ade3cbdc7c70010163b723,cebab3ad5dd4fcd9704c1a489a0da2b1,delivered,2018-04-05 22:39:27,2018-04-05 22:50:18,2018-04-07 01:25:46,2018-04-15 16:16:46,2018-04-27,0.007534722222222222,1.107962962962963,8.61875,9.734247685185185,-12.0,0,12.0,0.0,4.0,2018-04-16 00:00:00,2018-04-17 14:32:01,SP,sao paulo,5267,44.54,2.0,2.0,credit_card,1.0,1.0,1,1,1,1,1,31.75,12.79,450.0,5120.0,31.75,12.79,health_beauty,44.54,0.2871576111360575,0,1,0,0,1,0.007534722222222222,1.107962962962963,8.61875,9.734247685185185,0.0,31.75,12.79,44.54,450.0,5120.0,0.2871576111360575,44.54,-0.2616,Q2,On-time,Q1
0dfc5762a0ff5c737811e18023883a86,02735ed0fa102eb7d85ff54982e7905a,delivered,2017-05-04 08:38:54,2017-05-04 08:45:23,2017-05-05 11:27:56,2017-05-17 10:27:32,2017-06-09,0.004502314814814815,1.1128819444444444,11.958055555555555,13.075439814814814,-23.0,0,23.0,0.0,4.0,2017-05-18 00:00:00,2017-05-21 22:49:59,MT,cuiaba,78005,77.84,7.0,7.0,credit_card,1.0,1.0,1,1,1,1,1,56.99,20.85,350.0,5625.0,56.99,20.85,perfumery,77.84,0.26785714285714285,0,1,0,0,1,0.004502314814814815,1.1128819444444444,11.958055555555555,13.075439814814814,0.0,56.99,20.85,77.84,350.0,5625.0,0.26785714285714285,77.84,0.0014,Q3,On-time,Q2
fbca6c23232528f7e627999990bbc39f,7bb24975d38523436e659b5c2c17a383,delivered,2018-07-21 20:35:15,2018-07-21 20:45:09,2018-07-23 14:02:00,2018-08-11 20:21:45,2018-08-13,0.006875,1.7200347222222223,19.263715277777777,20.990625,-2.0,0,2.0,0.0,5.0,2018-08-12 00:00:00,2018-08-13 18:12:39,PE,recife,52051,173.89,1.0,1.0,credit_card,1.0,1.0,1,1,1,1,1,153.9,19.99,361.0,4080.0,153.9,19.99,health_beauty,173.89000000000001,0.11495773189947667,0,1,0,0,0,0.006875,1.7200347222222223,19.263715277777777,20.990625,0.0,153.9,19.99,173.89000000000001,361.0,4080.0,0.11495773189947667,173.89,-0.3238,Q1 Low,On-time,Q4
2c1ebc9152c8f7fc85ac1bb07017becd,4843a74362dd438d2035ac91d8ab5bbe,delivered,2018-03-28 11:22:10,2018-03-28 11:35:18,2018-03-29 19:14:45,2018-05-04 17:34:48,2018-04-24,0.00912037037037037,1.3190625,35.930590277777775,37.25877314814815,10.0,1,0.0,10.0,1.0,2018-04-26 00:00:00,2018-04-26 13:34:29,PE,recife,51170,187.06,2.0,2.0,credit_card,1.0,1.0,1,1,1,1,1,129.9,57.16,4350.0,8000.0,129.9,57.16,sports_leisure,187.06,0.3055704052175772,1,0,0,0,1,0.00912037037037037,1.3190625,35.930590277777775,37.25877314814815,10.0,129.9,57.16,187.06,4350.0,8000.0,0.3055704052175772,187.06,-0.1013,Q3,8-15 days,Q4
